[],A set of characters,"[a-m]"
\,Signals a special sequence (can also be used to escape special characters),"\d"
.,Any character (except newline character),"he..o"
^,Starts with,"^hello"
$,Ends with,"world$"
*,Zero or more occurrences,"aix*"
+,One or more occurrences,"aix+"
{},Exactly the specified number of occurrences,"al{2}"
|,Either or,"falls|stays"
(),Capture and group, 
\A,Returns a match if the specified characters are at the beginning of the string, 
\b,Returns a match where the specified characters are at the beginning or at the end of a word (the "r" in the beginning is making sure that the string is being treated as a "raw string"), 
\B,Returns a match where the specified characters are present but NOT at the beginning (or at the end) of a word (the "r" in the beginning is making sure that the string is being treated as a "raw string"), 
\d,Returns a match where the string contains digits (numbers from 0-9), 
\D,Returns a match where the string DOES NOT contain digits, 
\s,Returns a match where the string contains a white space character, 
\S,Returns a match where the string DOES NOT contain a white space character, 
\w,Returns a match where the string contains any word characters (characters from a to Z digits from 0-9 and the underscore _ character), 
\W,Returns a match where the string DOES NOT contain any word characters, 
\Z,Returns a match if the specified characters are at the end of the string, 